date,amount,direction,counterparty,inn,purpose,category,activity
2026-03-14,1381.31,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-14,1554.70,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-15,12000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №445",кредит,финансовая
2026-03-15,4326.09,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-15,1850.28,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-16,1731.47,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-16,2117.18,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-17,5136.99,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-17,5036.59,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-18,4735.66,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-18,4554.79,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-19,4087.91,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-19,3279.07,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-20,3621.49,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-20,1768.85,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-20,49576.93,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-03-21,5178.05,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-21,5249.24,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-22,3398.90,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-22,4337.03,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-23,4265.15,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-23,3271.77,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-24,4871.11,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-24,3455.51,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-25,65000.00,out,Иванова А.С.,,Зарплата продавцу за месяц,зарплата,операционная
2026-03-25,5240.31,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-25,4324.37,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-26,2370.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-26,2016.11,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-27,3699.24,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-27,2702.62,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-28,4300.73,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-28,2056.90,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-29,1530.01,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-29,1549.39,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-30,2824.33,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-30,3303.54,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-31,4738.16,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-31,4679.57,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
